x_ 1, x_ 2, x_ 3, x_ 4, x_ 5, x_ 6, x_ 7, x_ 8, x_ 9, x_10, x_11, x_12, x_13, x_14, x_15, x_16, x_17, x_18, x_19, x_20, x_21, x_22, x_23, x_24, x_25, x_26, x_27, x_28, x_29, x_30, x_31, x_32, x_33, x_34, x_35, x_36, x_37, x_38, x_39, x_40, x_41, x_42, x_43, x_44, x_45, x_46, x_47, x_48, x_49, x_50, x_51, x_52, x_53, x_54, x_55, x_56, x_57, x_58, x_59, x_60, x_61, x_62, x_63, x_64, x_65, x_66, x_67, x_68, x_69, x_70, x_71, x_72, x_73, x_74, x_75, x_76, x_77, x_78, x_79, x_80, x_81, x_82, x_83, x_84, x_85, x_86, x_87, x_88, x_89, x_90, x_91, x_92, x_93, x_94, x_95, C_ 1, C_ 2, C_ 3, C_ 4, C_ 5
-4.941246, 11.931981, 19.372592, NaN, -13.145806, 24.964485, NaN, 9.042432, NaN, -0.865898, 20.327425, -1.018596, 8.529825, NaN, -5.604558, 17.226466, -1.370068, 22.622559, -2.471809, -23.809808, NaN, 13.271831, -5.840427, 2.694941, -1.129847, 3.393681, -2.407827, NaN, NaN, -4.995869, -9.853835, -4.950231, -17.086847, -17.955644, 0.315172, -0.638787, NaN, 4.265492, NaN, 2.624226, 12.338342, 9.031921, 22.384596, -17.096245, NaN, -2.808105, 10.562299, -8.743409, 18.748642, 21.028576, -8.189729, 4.547865, -4.747742, 9.967161, NaN, NaN, -14.280325, NaN, -8.068080, 1.116418, 1.074258, -5.802007, 16.701596, -5.971107, -19.001108, -5.366035, -19.056300, 16.525903, 5.907773, NaN, 2.477702, 7.737707, -9.992498, 2.455222, -3.659958, 32.220539, -11.694404, 5.768400, 2.122990, 3.771104, 8.320164, -21.054143, 1.949327, 18.560795, -2.095579, -1.811814, 6.363735, NaN, -31.695501, -5.838539, 12.568585, 16.194456, -1.908843, 2.576999, 3.881133, NaN, I, NaN, NaN, G
NaN, 5.506807, 12.803175, -18.376254, -16.736662, 27.221273, 5.072233, NaN, 3.361321, NaN, 16.639593, -0.489651, 7.865915, -0.420115, -7.603906, 16.678453, -3.121373, NaN, -6.962331, -28.267668, -48.119880, 11.165761, -9.581813, NaN, -7.312294, -0.377789, -5.723128, NaN, -2.463096, -4.766928, -9.294067, -5.999624, -15.497925, -17.328124, NaN, -7.096923, -0.825953, 0.200676, 5.194222, -2.046426, 13.087936, 7.441670, 19.933220, -20.405227, -1.738506, -6.619284, 2.047170, -10.152861, 16.683858, 18.749952, -7.593211, 0.280366, -12.280397, 11.073970, 21.766744, 9.342929, -15.108261, 0.282318, -7.564366, NaN, -3.850491, -11.202697, 11.219373, -4.553789, -23.612603, -4.647132, -22.351608, 17.860866, 4.382954, 7.067718, 5.849646, NaN, NaN, -6.349481, -8.935821, 27.921314, -6.567826, 6.288954, -1.836796, -3.515372, 5.096047, -20.596981, 1.199474, 16.094709, NaN, -1.111855, NaN, 5.290549, NaN, -4.337937, 5.531867, NaN, -6.434483, 1.616862, 1.754059, J, I, NaN, G, H
-6.372196, 8.301255, 14.164737, -12.140668, -12.979200, 27.259180, 4.274176, 6.943662, NaN, NaN, 19.007998, 2.298669, 5.335127, NaN, -6.807791, 13.259967, NaN, NaN, -4.304845, -24.904790, -42.888455, 12.308372, -8.713288, 5.089002, -2.058372, 1.648660, -3.289800, 2.386750, 2.333834, -4.337251, NaN, -6.652753, -19.432119, NaN, 2.597192, NaN, -3.301632, 4.817071, 9.659148, -1.011115, 15.463642, 10.843994, 24.098899, NaN, 3.835312, -7.136681, 8.311477, -9.351315, 19.408792, 24.902615, -9.449432, 0.199408, -5.013200, 10.541421, 23.369901, 11.133900, -15.930784, 4.678143, -4.694591, -2.060137, -0.571448, -9.520936, 19.847104, -4.991230, NaN, -4.225236, -20.028629, 18.256102, 5.703261, 10.557259, 3.937642, 5.608985, -7.184934, -2.695664, -5.506170, 28.011072, NaN, NaN, 4.330477, 1.700514, 2.686719, -18.469205, 1.315543, 16.802553, NaN, -5.064895, 5.485791, 6.970178, -32.063946, -4.354344, NaN, 15.119385, -6.526978, 5.250703, 3.967086, J, I, G, K, J
-6.203278, 5.008324, 7.102069, -17.752669, -18.887746, NaN, 1.636073, 2.860688, 3.115506, NaN, 13.209557, -1.865422, 1.542197, -6.946822, -10.627917, 10.911131, -7.500762, 15.062230, -3.667640, -30.445842, -51.801350, 12.116952, -7.932593, -0.367963, -8.827104, -1.275223, -9.044088, 0.333171, NaN, -6.651910, -8.894848, -7.773187, NaN, -20.117209, -2.961541, -6.638524, -4.319533, 3.357440, 5.396970, -3.239697, 10.276057, NaN, 18.881557, NaN, NaN, -9.490368, 1.547648, -6.554285, 16.515299, 19.416340, -11.483322, -2.010151, -5.323771, 9.029926, NaN, 6.753856, -18.903249, -3.568457, NaN, -1.598076, -10.400133, -14.640464, 15.396539, -7.483927, -20.344633, -7.339220, -24.417308, NaN, NaN, 8.476163, 0.543145, 3.138130, -11.757072, -8.038378, NaN, NaN, -4.733765, 1.422982, -1.780679, -5.339975, -1.020302, -22.361929, -1.208371, 15.530602, -10.545479, NaN, 2.904496, 7.065146, -32.747974, -1.308374, 8.044310, 11.555996, -8.697681, NaN, -0.837874, J, H, H, NaN, I
NaN, 8.412149, 13.515695, -16.067606, -15.509555, 26.128823, 5.287033, 6.702611, 3.397277, -2.509392, 13.007268, NaN, 0.193070, NaN, -7.317617, 13.771728, NaN, NaN, -0.264255, -25.885950, -42.048205, 12.170749, -9.601455, 0.743717, NaN, 1.096935, -6.653267, -0.187995, NaN, -8.657271, -12.266927, -4.452656, -22.362296, -19.951189, -0.021565, -0.447619, -2.308817, 5.476390, 9.652565, -5.417728, 15.486327, 5.002965, 17.736908, -22.947861, -5.592038, -10.931312, 2.587265, -10.489806, 17.325790, 18.955081, -11.757619, -0.583014, NaN, NaN, 19.773651, 11.047058, -18.565810, -5.570529, -4.036709, -1.444774, -2.552077, -13.002749, 13.918061, -7.966394, -14.069952, -3.726448, -23.718815, 19.079673, 6.133356, 10.960223, 5.193999, 3.542301, -11.151393, -5.939625, -4.424148, 25.005323, -8.665590, 2.318864, -2.334105, NaN, 6.737723, -19.534382, 1.568315, 16.801033, -9.251030, -3.855064, NaN, NaN, -30.089441, -5.235442, 4.599403, 8.513511, NaN, -1.691534, -1.917311, K, I, G, NaN, I
-8.695102, NaN, 11.729987, -17.391072, NaN, 25.391116, NaN, 5.408964, 3.561030, -7.979256, 18.328612, -2.653706, 5.143707, NaN, -8.889232, NaN, NaN, 13.177511, -0.699948, -27.151472, -44.473731, 13.741916, -7.476428, 6.875516, -4.203659, 3.799934, NaN, -1.181460, -5.897502, -8.718976, -10.635900, -7.431444, -18.239101, -14.434046, 1.334650, -2.037661, NaN, 1.936342, 12.166609, NaN, NaN, 7.853284, 23.607800, -15.875341, NaN, -6.108998, NaN, -11.075483, 20.122521, 18.996508, -8.427475, 2.838698, -10.679115, 9.433911, 19.019469, NaN, -11.524914, 2.442036, -7.373339, -5.054675, -5.308606, -14.868378, 14.183149, -3.467963, -19.133695, -5.353391, -18.473301, 15.774476, 7.895205, 10.530038, 9.421889, 7.313116, -7.823982, NaN, -7.680869, 31.358309, NaN, 5.578496, -2.541901, 0.973750, 8.488862, -20.104034, 0.300742, 17.783500, -9.593691, 1.214412, 3.884482, 7.169824, -31.935864, NaN, 8.484387, 11.654815, -4.530473, 0.455854, NaN, G, H, I, K, J
NaN, 8.858947, 14.211689, -18.684308, -17.047235, 20.282101, 3.037503, 4.632213, 2.379847, -5.155825, 15.889506, -4.638939, 6.353927, 2.557960, -5.691558, 15.552102, -0.148387, 16.769925, -1.068272, NaN, -44.266075, 11.704665, -8.405584, NaN, -4.286383, -2.171829, -7.462937, -0.035971, -6.924177, -13.403790, NaN, NaN, -23.361580, -17.415054, 2.539576, -0.754625, 3.213297, -1.353318, 10.589786, NaN, 11.364289, 8.134592, 21.318127, -20.666042, -0.442940, -9.030926, 6.241529, -10.176720, 17.535801, NaN, -14.002540, 0.396091, -9.099033, NaN, 18.346543, 12.286753, -16.934581, -2.009547, -6.573268, -1.286657, -5.679779, -13.022662, 9.703187, -6.625994, NaN, -7.694433, -25.448831, NaN, NaN, 6.339442, 3.763411, 7.439464, -11.642710, -7.414008, -6.289046, NaN, -11.306647, 1.262578, -1.485915, 3.954192, 8.921570, NaN, 0.682732, 14.548787, -9.103368, NaN, 1.890347, 6.183837, -27.065104, -5.696837, 10.372934, 11.165556, -5.522665, -0.293673, -4.353969, H, I, G, G, J
NaN, NaN, 9.754913, NaN, -18.209806, 23.585062, -3.161683, 1.584054, -1.171629, -10.650627, 15.190241, -3.845764, 2.756395, -3.999894, -12.532072, 13.164648, -10.893933, 11.266808, -6.585434, -32.242154, NaN, NaN, -12.492014, -5.592420, -6.872737, 0.554587, -8.790934, -1.037403, -4.520221, NaN, -16.584919, -8.603625, NaN, NaN, -2.446422, -7.817545, -7.473660, -4.440235, NaN, -4.191833, 8.838871, 2.969068, 17.536078, -21.451029, -7.463031, -5.634981, -0.598586, -14.977195, 8.811785, 17.169823, -14.616392, -4.224087, -8.818244, 0.645267, 15.293164, 9.310780, NaN, -5.326466, NaN, -4.512867, -10.838844, -12.907350, 7.634062, -8.908263, -20.190919, -5.925645, -29.028489, 14.703550, -0.091705, 5.901947, 0.303615, 4.431879, -15.154613, -9.601772, NaN, 22.224002, -14.240713, 2.536014, -4.549159, -9.468885, -1.248126, -19.051615, 1.371989, 15.365544, -15.474813, -5.958166, -3.665102, 2.599462, -30.612120, -0.553753, 4.689743, 13.010782, -13.201209, -3.395190, -4.144874, NaN, H, G, G, H
-2.347242, NaN, 17.844187, -15.109159, -10.479125, 30.651473, 2.714683, 6.963225, 9.354180, -1.275740, 16.130909, -0.936119, 3.551097, 3.038127, -11.299536, 16.093157, -1.195466, 17.394774, NaN, NaN, -45.475706, 11.767222, -6.033043, 5.305548, -4.289714, 2.728247, NaN, 3.528960, NaN, -8.646742, -11.637181, -5.827919, -18.272916, -14.887741, 7.278024, -2.559915, 0.404380, 5.319339, NaN, 0.551795, 15.093000, 9.297041, 22.564577, -21.451889, -1.649118, -5.953406, 10.691931, -10.472413, 19.148524, 15.580004, -8.664598, 1.863220, -10.470468, 12.078455, NaN, 14.036808, -9.442962, NaN, -6.100200, -0.206956, -6.375295, -10.730582, 9.083827, -6.752697, -17.762552, -3.229753, -24.767622, 18.524303, 3.523787, 7.993418, NaN, 6.838633, -8.012199, -3.910247, -4.809668, NaN, -7.975001, 5.408007, 1.794403, -1.378524, 5.946193, -19.339314, 2.958489, 17.912916, -6.824391, -1.519117, 3.321553, 6.296870, -27.972350, -3.471326, 6.895513, 15.355536, -6.235513, 2.494191, NaN, H, I, H, H, G
-10.198084, 2.501071, NaN, -17.226744, NaN, 23.549086, 3.279442, 5.003682, NaN, NaN, 16.497283, -3.982016, 1.305430, -1.919608, NaN, 12.128856, -3.615283, 14.952598, -1.861917, -32.581093, NaN, 7.211096, -10.537419, 2.823782, NaN, -1.383024, -5.456113, -0.764657, 2.108121, -8.590383, -15.549067, NaN, -22.829934, -21.041070, 1.764632, -5.445404, -1.008006, -0.956597, 10.765638, NaN, 6.103809, 7.251987, 17.718062, -21.432527, -0.824961, NaN, 7.476786, -9.417940, 16.929168, 20.615419, NaN, 0.942379, -9.391485, NaN, 21.235732, 6.991704, NaN, -3.750928, -8.166604, -4.383027, -2.437123, -12.946694, 15.388981, -8.786848, -21.546288, -6.204160, -26.720716, 14.979240, 3.110375, NaN, 4.505826, 3.773034, -10.187165, -5.891962, NaN, 23.707100, -5.848603, 0.482847, -0.108227, -4.003739, 5.851230, -24.748210, -2.458712, 18.189172, -10.844306, -3.719585, 5.845061, 9.488332, -33.854134, -5.373316, 9.466933, 14.184350, NaN, NaN, 0.153135, K, H, J, G, H
-4.919567, 6.882521, 14.300385, -18.315208, -12.623492, 22.271107, NaN, 8.864321, 6.105378, -2.040724, 16.687365, -2.551700, 4.912183, 0.907899, -9.214559, 15.731849, -0.864793, 20.536528, -2.621157, -29.184660, -45.392726, NaN, -5.421119, NaN, -3.690440, 1.360774, -3.600249, NaN, -1.636590, -5.383187, -10.673767, -3.898760, -17.039435, -13.345212, 0.858374, -0.181220, 4.287937, 3.357961, 11.928215, 3.269652, NaN, 8.161322, 23.289070, NaN, 1.690909, -3.424829, NaN, -9.003930, 23.134783, 17.997533, -8.122782, 2.316312, -7.865523, 10.192393, 22.751000, 8.638319, -16.821187, 0.024117, -6.219628, NaN, -3.829623, -11.760376, 15.959871, NaN, -15.848908, -9.515635, -21.845495, 14.485499, 11.037063, 8.925513, 5.022893, 5.875796, -11.124097, -3.536433, -5.120328, NaN, -8.537878, 4.164940, 2.233536, 2.913743, 9.968505, -21.306181, 0.055858, 12.712704, -3.999032, -0.807004, 6.032886, 4.646347, -29.089018, -7.375152, 11.151548, 10.724646, -1.677830, -0.735556, 3.899318, H, I, G, H, NaN
-4.288528, 7.521452, 17.932252, -16.331834, -12.711254, 24.423290, 7.418516, 8.752828, 5.090265, -1.708985, 17.806193, -5.132937, 5.348703, -0.493681, -7.960052, NaN, -2.087838, NaN, -1.510859, -26.633678, NaN, 10.938566, -6.136010, NaN, -6.139424, 4.917538, -5.620275, 1.691139, -2.363662, -8.910450, -8.345652, -2.966306, -19.198774, -14.713978, -0.203041, -0.163265, NaN, 4.620803, 7.403660, 2.096180, 14.617259, NaN, 19.026960, -20.044964, 0.711366, NaN, 3.544095, -5.181407, NaN, 18.299152, -6.872915, NaN, -5.090452, 8.222504, 20.517744, 9.759775, -14.008440, 0.877702, -4.379086, 1.316008, NaN, -8.899436, NaN, -5.113042, NaN, -1.972476, -18.182462, 17.764000, 4.628378, 10.641869, -0.163878, 8.754040, -8.507036, -4.739734, -2.550179, 26.026417, -7.189579, 1.338824, -1.433032, 1.179698, 5.422391, -20.150780, NaN, 17.811673, -6.626335, -0.956922, NaN, NaN, -31.184440, -3.455973, 11.021833, 14.777199, -8.589954, 3.417611, NaN, G, I, G, G, I
NaN, NaN, 14.823273, -17.193729, -12.666372, 24.183798, 2.798630, NaN, -0.159690, -7.994227, 16.658870, -3.482200, 1.287725, NaN, -13.653305, NaN, -6.130004, 19.320098, NaN, -30.456982, -46.456324, 5.845834, NaN, 1.579321, -4.677157, NaN, -10.028363, -2.079146, -1.363377, -9.350841, -14.616335, -9.102978, -24.369987, -16.667157, -1.929044, 0.117433, -6.513815, -0.494102, 9.294076, 0.942292, 9.685994, 7.006051, 16.931423, -21.803604, -1.398104, -9.179947, 2.559958, -10.381116, 18.228318, 17.437039, -8.468574, -2.520292, -7.505865, 3.694678, 17.994891, 7.936851, -17.079077, 0.332587, -8.347326, -3.409739, -4.142632, -10.818067, 14.298558, -7.542750, -17.570757, -2.839352, -20.344980, 11.678457, 3.506259, 5.403550, -1.300917, 7.667476, NaN, -7.715650, NaN, 21.575081, -11.865082, 2.707777, NaN, -1.508750, 4.392599, -21.677540, NaN, NaN, -10.031599, -5.191784, -2.128022, 3.048869, -30.563886, -5.513449, 7.544776, 11.717281, -10.961941, 2.192415, 1.880866, G, I, K, J, J
