y, x_ 1, x_ 2, x_ 3, x_ 4, x_ 5, x_ 6, x_ 7, x_ 8, x_ 9, x_10, x_11, x_12, x_13, x_14, x_15, x_16, x_17, x_18, x_19, x_20, x_21, x_22, x_23, x_24, x_25, x_26, x_27, x_28, x_29, x_30, x_31, x_32, x_33, x_34, x_35, x_36, x_37, x_38, x_39, x_40, x_41, x_42, x_43, x_44, x_45, x_46, x_47, x_48, x_49, x_50, x_51, x_52, x_53, x_54, x_55, x_56, x_57, x_58, x_59, x_60, x_61, x_62, x_63, x_64, x_65, x_66, x_67, x_68, x_69, x_70, x_71, x_72, x_73, x_74, x_75, x_76, x_77, x_78, x_79, x_80, x_81, x_82, x_83, x_84, x_85, x_86, x_87, x_88, x_89, x_90, x_91, x_92, x_93, x_94, x_95, C_ 1, C_ 2, C_ 3, C_ 4, C_ 5
5.624812, -9.559976, 4.228774, 11.553362, -17.113790, -16.569521, 22.769191, 0.382386, 0.832485, -0.232633, -4.041770, 9.951850, -7.000810, 0.978783, -1.031939, -13.166488, 12.344745, -7.784492, 13.752794, NaN, -28.380873, -48.633556, 8.854916, -9.463835, -1.381741, -8.056079, 1.315015, -8.956224, -1.906597, NaN, NaN, -14.919891, -11.974402, -22.528543, -22.198874, -2.280463, -8.728098, -4.496781, -2.432177, NaN, -1.874104, 9.928736, 3.225961, 17.481453, -19.295978, NaN, -7.893051, NaN, NaN, 13.010564, 17.614062, -15.395655, -2.061474, -8.439641, 4.579617, 14.311881, 2.572634, -15.749463, -8.317990, -11.043070, -5.216956, NaN, NaN, 7.479819, -12.639143, -21.820073, -8.527042, -23.746827, 10.443664, NaN, 1.803595, -3.429717, 5.332706, -17.053792, NaN, -4.066380, 23.996395, -13.666037, NaN, NaN, -2.593927, 1.030198, -26.686366, -1.825691, 17.690312, -7.224462, NaN, 2.958050, 4.614106, -33.610773, NaN, NaN, 8.811241, NaN, -0.003119, NaN, G, H, I, G, G
-41.615816, -6.732660, NaN, 10.171101, -14.828047, -16.753804, 19.598372, 5.229196, 5.411455, NaN, -1.584082, 22.414109, -3.579146, 6.387822, NaN, -6.827155, 13.982311, 3.349579, 21.275493, -6.281971, -28.847608, -46.891650, 14.150334, -5.684076, NaN, -1.946664, 2.014526, NaN, 3.419527, -0.618107, -8.762497, -4.104760, -2.409109, -18.371057, -18.517440, 1.830118, -2.589954, -1.904123, 6.126260, 11.129625, 2.022344, 13.735098, 8.934548, 23.394944, NaN, 3.541639, -7.228674, NaN, NaN, 18.685257, NaN, NaN, 4.965092, -5.939676, 9.287421, 22.403579, 12.350445, -11.808854, -1.334284, -2.884778, -1.447855, -6.974315, -14.901846, 18.912805, -5.481772, -19.325707, -7.434836, NaN, 19.665688, 5.932876, 13.526200, 0.905205, 8.631676, -10.205578, -4.283823, -4.736076, NaN, NaN, NaN, -0.388450, 0.217603, 2.309940, -19.571767, 1.015757, 16.717203, NaN, -4.300504, 6.757137, 10.390760, -33.620972, -1.571759, 9.885101, NaN, -2.888637, 3.433533, NaN, J, H, J, J, H
97.390157, -10.258837, 5.339330, 10.884540, -17.835446, -14.420291, 27.420615, NaN, 4.428075, -2.443265, NaN, 17.148066, -4.507220, 3.647895, 1.903672, -10.248666, 15.022845, -7.913836, 16.995483, -3.619690, -28.134371, NaN, 11.856659, -15.593687, -0.284885, -8.433523, 1.107424, -11.688565, -3.609787, -2.531767, -9.353190, -11.130092, -8.095531, -19.571585, -20.334556, -4.908954, -4.316948, -6.729854, -1.529574, 8.513820, -3.452975, 11.337491, 5.371713, 20.900283, -21.724914, -1.303079, -9.853062, NaN, -11.386888, 16.885055, NaN, -8.754602, -1.930114, -8.831649, 5.128748, NaN, 6.333049, -16.993161, NaN, -3.404102, -2.842204, -2.787751, -14.733572, 10.860834, -5.139016, NaN, -2.910778, -22.051924, 16.421834, 4.459910, 9.242993, NaN, 6.701997, -8.953097, -6.931557, -6.041923, NaN, -10.664499, 4.464216, -2.785733, -7.109641, 0.560809, -19.572454, NaN, 15.246533, -6.740048, NaN, -0.251387, -0.620649, -35.358920, -3.982897, NaN, NaN, -8.187935, 0.323382, NaN, G, H, J, NaN, K
-9.951047, -8.760254, 8.524921, 12.829260, -14.621509, NaN, 26.389798, NaN, 4.458873, 6.750240, NaN, 17.145437, -0.606932, 5.788584, 0.281281, -7.597174, NaN, -1.598370, 17.317569, -5.491045, -26.495486, -47.256945, 12.024399, -8.668668, 4.639895, -1.839071, 3.309310, -3.966614, 1.917435, -0.743890, -6.773514, -9.195019, -7.145002, -19.606788, -20.661756, 5.531978, -3.475282, -4.696972, NaN, 10.099408, NaN, 15.532704, 12.001384, 23.166113, -14.728250, 1.695567, -10.238785, 4.249557, -9.567180, 18.537728, 21.443554, -10.127590, 3.953228, -8.457554, 11.098796, NaN, 8.530382, -12.569728, 3.025086, -5.625720, -3.354696, -4.763126, -8.450499, 14.995476, -10.444245, -20.697726, -3.749195, -19.822180, 17.920431, 4.227754, 9.979890, 4.026600, 8.233733, -8.311072, -4.094103, -4.489011, 29.525922, -7.637050, 3.260226, -0.616028, 4.149022, 2.191336, -22.418651, 3.078573, 20.681410, -8.370921, -3.159599, 7.247878, 6.864128, -32.416991, NaN, 9.682279, 11.426503, -11.604437, 2.005579, 2.404139, G, NaN, H, I, K
-1.273579, -4.975709, 7.748454, 14.715911, -12.483056, -10.618286, NaN, 7.811208, 10.969100, 5.641905, -3.986402, 22.382774, -2.813888, 10.811151, 6.488204, NaN, 18.888581, -3.522362, 18.082710, -1.447316, NaN, -42.596984, 15.552233, -5.653005, 4.444824, NaN, 4.006494, -3.881891, 1.500167, 1.438435, -3.668098, -8.976873, -5.619134, NaN, -16.625871, 2.898224, -1.629082, NaN, 1.715877, NaN, 4.531357, 12.480012, 7.343243, 27.382421, -15.001038, 3.691983, -0.493839, 6.952916, -6.958513, 20.501368, NaN, -5.942089, 1.727682, -4.659010, 9.823890, 25.129349, 9.178347, NaN, 2.508595, -6.842036, -0.926511, NaN, -7.534913, 14.629944, -0.913501, -17.392816, -3.119214, -18.380323, 17.802897, 8.407265, 10.046345, 6.949678, 10.092281, -8.270160, -0.810232, NaN, 35.821935, -5.733100, 11.897776, NaN, -0.833840, 5.427311, -18.468844, 5.156010, 20.653699, -0.026514, 2.075183, 7.447326, 8.918882, -29.994052, -0.631610, 9.875994, 16.447495, NaN, 1.959041, 3.615429, J, I, K, J, I
32.876266, -7.916901, 8.012112, 11.911307, -14.644540, -14.234772, 25.796358, 2.654348, 6.167520, 4.617014, -4.171446, 18.707227, -5.323561, NaN, 3.701798, -6.747658, 16.030186, -1.861966, 15.951673, -4.157558, -25.455112, -46.625128, 11.991418, -8.810515, -2.597511, -5.751148, 0.823901, -8.336950, 1.059023, -6.111986, NaN, -10.216358, -6.264826, -18.070450, -19.837542, 0.418943, -7.342434, -1.124186, 1.134218, 5.107019, 1.227749, 13.323786, 9.343701, 24.091600, -19.801412, 0.458222, -4.215971, NaN, -9.516958, 18.004397, 17.423192, -12.337049, 1.287977, -11.457939, 6.012610, 18.964558, 6.870907, -11.681098, -4.203933, -9.243495, -2.783550, -4.776124, -13.997230, 9.800232, -4.050125, -21.830116, -6.710126, -26.068464, 15.054961, 3.206113, 5.134891, NaN, 5.976135, -10.386283, -4.265709, -7.838874, NaN, -13.794311, 4.903696, NaN, NaN, 2.097785, -21.003467, 1.128160, 15.574095, NaN, NaN, 5.152407, 6.357033, -32.959249, -6.549192, NaN, 11.932296, -7.325524, 1.083984, -2.600647, G, H, NaN, J, I
30.614683, -5.379646, 3.128314, 12.353560, -16.515161, -11.658055, 23.737193, 1.298510, 3.833009, -0.371958, -2.013986, 15.923765, -2.240903, 4.330092, 2.671988, -4.271410, NaN, -3.122740, 17.765084, -0.869898, -26.903401, -41.892099, 15.283374, NaN, 1.634850, -5.337907, 0.050496, -10.093988, 1.609659, -4.580790, -8.959650, -5.225145, NaN, -15.873820, -21.647042, 3.215060, -2.800998, -2.308897, 2.418524, 9.977732, NaN, 14.156574, 8.893257, NaN, -16.446350, -1.373500, -6.391240, NaN, -11.933156, 15.638106, 19.427834, NaN, 3.514045, -8.917307, 8.965189, 15.801502, 10.526534, -15.066696, -0.231294, -5.993284, 0.627924, NaN, -10.543135, NaN, -4.042867, NaN, NaN, -20.943929, 14.653817, 4.153600, 6.242744, NaN, 8.455315, -10.361013, NaN, NaN, 33.508386, NaN, 12.439799, 3.644476, NaN, 4.572127, -18.964317, 1.541618, 18.074814, -6.595325, 2.947981, NaN, 2.199882, -29.907354, -5.085930, 6.337410, NaN, -7.399329, 1.258472, -2.448681, J, I, H, J, H
84.645141, -9.711790, 5.854341, NaN, -21.075537, -17.536461, 21.217073, 0.114606, 1.216053, NaN, -6.910021, 14.718140, -6.682390, NaN, -2.329085, -9.210751, 12.414750, -6.097895, NaN, -9.074748, -28.776506, NaN, 6.640905, -13.438673, 1.116326, -10.018821, -5.247899, NaN, -6.006950, -5.463650, -11.894152, -14.136456, -9.400629, -23.066435, -19.605906, NaN, -6.795228, NaN, NaN, 4.971806, -5.567472, 12.066484, 6.142516, 18.990386, -22.544532, -4.866568, -11.116175, NaN, NaN, NaN, 15.594724, -13.529733, -3.792801, -16.514437, 6.095036, 20.652884, 5.740477, -18.148539, -1.517709, -13.186802, -5.633408, -6.676284, NaN, 6.301364, -10.814617, -24.920871, NaN, -25.187188, 15.921636, -0.961932, 4.067891, 0.647683, 1.057795, -12.743140, -7.266117, NaN, 26.570695, -11.457760, 3.572225, NaN, -4.330354, 3.663552, -21.621567, -2.854489, 13.698360, -11.083504, -3.129989, -2.434917, -1.836440, NaN, NaN, 5.169642, 6.439124, NaN, -2.075796, -0.990849, H, I, H, H, K
-66.341092, -7.495827, NaN, 10.724445, -20.929694, -17.073651, 19.235905, -0.314533, 2.698487, 5.787138, -4.284734, 15.601900, -2.258296, 5.244653, NaN, -7.784555, 11.120988, -7.845530, 15.619128, -6.380145, NaN, -54.473273, 11.351151, NaN, -3.307905, -6.647301, -5.581690, NaN, NaN, NaN, NaN, -10.066094, -5.084971, -23.294708, -17.433673, -2.048444, NaN, -1.524617, NaN, 4.158651, -0.697444, 12.309330, 11.628802, 24.054612, NaN, 3.738067, -8.599434, 3.446797, -8.678554, 19.512544, NaN, -13.957818, NaN, -9.913001, 6.948535, 18.492229, 3.630205, -18.614231, -2.380983, -5.807580, -2.465616, -11.422645, -13.934157, 11.430333, NaN, -25.068444, -9.187837, -26.958851, 15.511537, 4.117070, 4.180131, NaN, 1.335462, NaN, NaN, NaN, 21.476169, -10.277449, 0.056767, -1.075575, -2.637674, 3.613541, NaN, -2.901812, 13.432995, -8.413743, -10.200785, -2.667623, NaN, -31.562660, NaN, NaN, 11.340276, -9.735611, -3.846538, -3.708834, NaN, H, K, H, H
9.866903, -9.027570, 0.485763, 11.184110, -17.698619, -15.710081, 22.856789, 5.431498, 7.050627, 0.222470, -2.058316, NaN, -5.287183, NaN, -4.769423, -10.552471, NaN, -3.401066, 21.523168, -5.626526, NaN, -49.135694, 8.451257, -9.082323, 6.091794, -5.689702, 2.839328, -3.967229, NaN, -3.864555, -6.607468, -9.517563, -7.349077, -14.823193, -16.348350, NaN, -6.038644, 0.175545, 0.454125, 10.131553, NaN, 10.219107, 9.506272, 18.542022, -14.967488, NaN, -7.117260, 1.531442, NaN, 13.932668, 21.076459, NaN, 0.854244, -8.239289, 8.497218, NaN, 3.841615, NaN, -0.266341, -4.536330, -2.073844, -3.397653, -8.816256, 13.672757, NaN, -20.899958, -7.061958, NaN, 14.374727, NaN, 1.637016, 1.734860, 11.947561, -10.561289, -8.337871, -2.155182, 26.016222, NaN, 5.287811, NaN, -1.203375, NaN, -22.880967, 1.457449, 16.111442, -4.885605, 1.330167, 6.429319, 3.326446, -29.410509, -8.970008, 10.787976, 14.517880, -7.528967, 2.787035, 1.285487, G, H, NaN, I, K
-7.724285, NaN, -0.856093, 7.599090, -23.568116, -19.284025, NaN, 1.545790, 2.315298, -3.593373, -7.383881, 11.164877, -9.628827, -5.106301, -5.285203, -15.231943, 9.592712, -8.061832, 12.961244, -6.521905, -35.234291, -50.519095, 6.855254, -14.391959, -1.677011, -6.886469, -4.027795, -12.387310, -2.258083, -5.787179, -13.687326, -12.134103, -9.140702, -24.812445, NaN, -2.826654, -4.344525, -3.818279, -1.991377, 8.341695, -6.726581, NaN, 1.081407, 17.021920, -21.441425, NaN, -11.908799, -0.975519, -15.665029, 13.950578, 12.561395, -13.856909, -2.160130, -8.485120, 2.763193, 14.011038, 3.177166, -20.529900, NaN, -5.146125, -8.774000, NaN, NaN, 7.758214, -14.142366, -22.046340, -11.056376, -28.305872, 11.726509, NaN, 3.125284, -1.179944, 2.290704, -16.012188, -13.435592, -12.980601, 22.960296, -10.766244, 0.845916, -1.754150, -4.349307, 1.437712, NaN, -6.489614, 14.020711, -10.047826, -7.931991, 0.060900, NaN, -38.944800, -11.779858, NaN, 9.421023, -12.963354, -5.640395, -4.831087, G, H, H, J, H
39.171358, NaN, 6.804447, 12.731534, -15.958188, -13.589275, 22.118102, NaN, 7.695054, -0.001413, NaN, 14.262279, -5.519282, 4.389140, 0.984101, -7.921236, 13.218866, -3.734491, 16.836508, -3.230851, -26.887285, -45.538456, 10.950490, -10.836328, 3.082493, -4.052001, NaN, -8.825733, -0.364105, -3.117566, NaN, -13.948936, -3.947394, -18.827295, -18.221131, -2.343740, -0.761353, -0.563034, 1.466925, 10.381536, -2.443274, 10.989091, 7.569116, 21.570511, -19.894147, NaN, -5.804446, 2.995187, NaN, 21.208280, 19.093394, -9.561454, 1.731816, -8.298410, 7.267391, NaN, 8.864269, -19.046913, 0.285384, -6.031357, -4.374824, -4.340411, -15.255699, 14.391014, -7.300145, -16.599436, -5.207482, -22.301910, 16.093150, 7.374637, 8.457459, 3.865470, 5.621435, NaN, -7.708737, -5.298530, 27.750557, -8.441674, 2.598223, 1.847577, 2.314383, 6.709581, NaN, NaN, NaN, -6.485349, -0.681993, 4.748187, 6.107379, NaN, -4.405587, 7.155555, 12.552260, -5.745679, -0.857640, NaN, G, I, G, G, G
43.810140, -11.010295, 1.743390, 9.420931, -14.400703, NaN, 25.537612, 3.498127, 7.697403, 3.697151, 0.427047, 18.705174, -6.424250, 11.185157, NaN, -5.590860, 18.559297, -2.917792, 20.722777, -10.419203, -29.157012, -48.941111, 10.004987, -10.357600, 1.925133, -4.652813, -1.379877, NaN, -0.021549, -1.180475, -5.636854, -16.538164, -3.328811, -13.861380, -21.787450, 0.685954, -4.395704, 1.633658, 5.868328, NaN, -0.622618, NaN, 8.692701, NaN, -19.510731, 1.818917, -3.334630, 1.801406, -8.903441, 21.786487, 23.245499, NaN, NaN, -11.983114, 9.299304, 20.464769, 9.443582, NaN, 2.387075, -7.114523, -5.272699, -3.299743, -9.083006, 14.353187, -8.441138, -13.266319, -9.584021, -25.437274, 16.602966, 11.354883, 11.249844, 3.614522, NaN, -10.138011, -4.722552, -5.836008, 34.789025, -8.890171, 2.340266, NaN, 0.452340, NaN, NaN, NaN, 13.760571, -2.312904, 2.913085, 10.668641, 6.293156, -27.826502, -4.932713, 8.813248, 10.053621, -4.932255, NaN, NaN, H, H, H, G, J
